type,timestamp_ns,value1,value2,est_x,est_y,est_heading
GYRO,1250000000,-0.058466408,0.000000000,0.117474802,-0.004821483,-0.083054440
WHEEL,1250000000,2.969800854,2.714430050,0.117474802,-0.004821483,-0.083054440
GYRO,1275000000,-0.067742445,0.000000000,0.119811465,-0.005016001,-0.084516100
WHEEL,1300000000,2.983131601,2.689733492,0.122147841,-0.005213934,-0.086209661
GYRO,1300000000,-0.068743468,0.000000000,0.122147841,-0.005213934,-0.086209661
GYRO,1325000000,-0.064791846,0.000000000,0.124479207,-0.005415420,-0.087928248
WHEEL,1350000000,2.999129264,2.694493982,0.126810224,-0.005620912,-0.089548044
GYRO,1350000000,-0.064561984,0.000000000,0.126810224,-0.005620912,-0.089548044
GYRO,1375000000,-0.066194832,0.000000000,0.129149434,-0.005830945,-0.091162094
WHEEL,1400000000,2.968738664,2.684087380,0.131488301,-0.006044754,-0.092816964
GYRO,1400000000,-0.057245769,0.000000000,0.131488301,-0.006044754,-0.092816964
GYRO,1425000000,-0.064256864,0.000000000,0.133810054,-0.006260873,-0.094248109
WHEEL,1450000000,3.018611689,2.713555349,0.136131497,-0.006480314,-0.095854530
GYRO,1450000000,-0.067998145,0.000000000,0.136131497,-0.006480314,-0.095854530
GYRO,1475000000,-0.061512981,0.000000000,0.138485161,-0.006706617,-0.097554484
WHEEL,1500000000,3.013968805,2.703472041,0.140838438,-0.006936921,-0.099092308
GYRO,1500000000,-0.071185626,0.000000000,0.140838438,-0.006936921,-0.099092308
GYRO,1525000000,-0.082041084,0.000000000,0.143185312,-0.007170242,-0.100871949
GYRO,1550000000,-0.058504254,0.000000000,0.145531768,-0.007407740,-0.102922976
WHEEL,1550000000,3.013245690,2.704822443,0.145531768,-0.007407740,-0.102922976
GYRO,1575000000,-0.065622620,0.000000000,0.147877989,-0.007650076,-0.104385583
GYRO,1600000000,-0.069138734,0.000000000,0.150223853,-0.007895844,-0.106026148
WHEEL,1600000000,2.996635898,2.723295373,0.150223853,-0.007895844,-0.106026148
GYRO,1625000000,-0.059930178,0.000000000,0.152570075,-0.008145541,-0.107754616
WHEEL,1650000000,2.995085046,2.684606644,0.154915862,-0.008399294,-0.109252871
GYRO,1650000000,-0.063472399,0.000000000,0.154915862,-0.008399294,-0.109252871
GYRO,1675000000,-0.058636254,0.000000000,0.157244766,-0.008654750,-0.110839681
WHEEL,1700000000,3.024243446,2.724669937,0.159573262,-0.008913902,-0.112305587
GYRO,1700000000,-0.067704099,0.000000000,0.159573262,-0.008913902,-0.112305587
GYRO,1725000000,-0.062959972,0.000000000,0.161929750,-0.009179667,-0.113998190
WHEEL,1750000000,2.968516894,2.712759059,0.164285784,-0.009449420,-0.115572189
GYRO,1750000000,-0.045080410,0.000000000,0.164285784,-0.009449420,-0.115572189
GYRO,1775000000,-0.066701074,0.000000000,0.166613677,-0.009719664,-0.116699199
WHEEL,1800000000,2.959111539,2.721389617,0.168941263,-0.009992532,-0.118366726
GYRO,1800000000,-0.083941744,0.000000000,0.168941263,-0.009992532,-0.118366726
GYRO,1825000000,-0.063637859,0.000000000,0.171268074,-0.010269242,-0.120465270
WHEEL,1850000000,2.981324743,2.715684164,0.173594300,-0.010550835,-0.122056216
GYRO,1850000000,-0.076588559,0.000000000,0.173594300,-0.010550835,-0.122056216
GYRO,1875000000,-0.059335837,0.000000000,0.175926832,-0.010836957,-0.123970930
WHEEL,1900000000,2.987702484,2.706657849,0.178258813,-0.011127545,-0.125454326
GYRO,1900000000,-0.070994211,0.000000000,0.178258813,-0.011127545,-0.125454326
GYRO,1925000000,-0.070781926,0.000000000,0.180589277,-0.011421456,-0.127229181
GYRO,1950000000,-0.059890179,0.000000000,0.182919214,-0.011719502,-0.128998729
WHEEL,1950000000,2.972385659,2.694383874,0.182919214,-0.011719502,-0.128998729
